,work,date,composer,librettist,based_on,language
771,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
772,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
773,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
774,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
775,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
776,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
777,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
778,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
779,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
780,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
781,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
782,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
783,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
784,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
785,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
786,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
787,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
788,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
789,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
790,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
791,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
792,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
793,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
794,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
795,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
796,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
797,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
798,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
799,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
800,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
801,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
802,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
803,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
804,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
805,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
806,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
807,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
808,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
809,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
810,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
811,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
812,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
813,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
814,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
815,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
816,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
817,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
818,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
819,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
820,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
821,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
822,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
823,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
824,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
825,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
826,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
827,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
828,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
829,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
830,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
831,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
832,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
833,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
834,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
835,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
836,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
837,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
838,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
839,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
840,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
841,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
842,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
843,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
844,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
845,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
846,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
847,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
848,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
849,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
850,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
851,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
852,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
853,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
854,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
855,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
856,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
857,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
858,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
859,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
860,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
861,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
862,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
863,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
864,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
865,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
866,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
867,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
868,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
869,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
870,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
871,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
872,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
873,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
874,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
875,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
876,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
877,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
878,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
879,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
880,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
881,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
882,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
883,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
884,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
885,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
886,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
887,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
888,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
889,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
890,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
891,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
892,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
893,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
894,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
895,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
896,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
897,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
898,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
899,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
900,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
901,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
902,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
903,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
904,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
905,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
906,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
907,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
908,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
909,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
910,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
911,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
912,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
913,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
914,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
915,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
916,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
917,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
918,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
919,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
920,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
921,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
922,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
923,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
924,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
925,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
926,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
927,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
928,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
929,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
930,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
931,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
932,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
933,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
934,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
935,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
936,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
937,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
938,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
939,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
940,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
941,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
942,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
943,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
944,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
945,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
946,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
