"","composer","work","work_url"
"353","Catalani","La Wally","http://www.wikidata.org/entity/Q654861"
"354","Charpentier","La descente d'Orphée aux Enfers","http://www.wikidata.org/entity/Q6466096"
"355","Moniuszko","Halka","http://www.wikidata.org/entity/Q592291"
"356","Charpentier","Louise","http://www.wikidata.org/entity/Q286488"
"357","Donizetti","Lucia of Lammermoor","http://www.wikidata.org/entity/Q244209"
"358","Donizetti","Lucretia Borgia","http://www.wikidata.org/entity/Q685501"
"359","Verdi","Macbeth (1865 revised)","http://www.wikidata.org/entity/Q320363"
"360","Granados","Goyescas","http://www.wikidata.org/entity/Q3077271"
"361","Argento","Casanova's Homecoming","http://www.wikidata.org/entity/Q5048021"
"362","Beethoven","Leonore","http://www.wikidata.org/entity/Q193778"
"363","Meyerbeer","Les Huguenots","http://www.wikidata.org/entity/Q466848"
"364","Rameau","Les Indes galantes","http://www.wikidata.org/entity/Q583297"
"365","Poulenc","Les Mamelles de Tiresias","http://www.wikidata.org/entity/Q4692200"
"366","Verdi","Les Vêpres Siciliennes","http://www.wikidata.org/entity/Q471645"
"367","Drattell","Lilith","http://www.wikidata.org/entity/Q6547856"
"368","Rossini","Guillaume Tell","http://www.wikidata.org/entity/Q729659"
"369","Henze","Das verratene Meer","http://www.wikidata.org/entity/Q5226490"
"370","Handel","Imeneo","http://www.wikidata.org/entity/Q1659804"
